Chrom	Strt	End	Relative Read Coverage 5k	Sample
chr1	1	5000	3.401	Shattered
chr1	5001	10000	1.919	Shattered
chr1	10001	15000	1.564	Shattered
chr1	15001	20000	1.255	Shattered
chr1	20001	25000	1.898	Shattered
chr1	25001	30000	2.637	Shattered
chr1	30001	35000	1.954	Shattered
chr1	35001	40000	2.155	Shattered
chr1	40001	45000	1.693	Shattered
chr1	45001	50000	2.174	Shattered
chr1	50001	55000	2.634	Shattered
chr1	60001	65000	3.043	Shattered
chr1	65001	70000	1.821	Shattered
chr1	70001	75000	1.953	Shattered
chr1	75001	80000	3.73	Shattered
chr1	80001	85000	2.003	Shattered
chr1	85001	90000	2.359	Shattered
chr1	90001	95000	2.568	Shattered
chr1	95001	100000	2.357	Shattered
chr1	100001	105000	2.944	Shattered
chr1	105001	110000	2.582	Shattered
chr1	110001	115000	2.444	Shattered
chr1	115001	120000	1.984	Shattered
chr1	120001	125000	1.856	Shattered
chr1	125001	130000	2.023	Shattered
chr1	130001	135000	1.931	Shattered
chr1	135001	140000	2.168	Shattered
chr1	140001	145000	2.361	Shattered
chr1	145001	150000	2.892	Shattered
chr1	150001	155000	3.112	Shattered
chr1	155001	160000	3.925	Shattered
chr1	160001	165000	2.857	Shattered
chr1	165001	170000	3.478	Shattered
chr1	170001	175000	1.899	Shattered
chr1	175001	180000	2.044	Shattered
chr1	180001	185000	2.057	Shattered
chr1	185001	190000	2.635	Shattered
chr1	190001	195000	2.623	Shattered
chr1	195001	200000	1.752	Shattered
chr1	200001	205000	3.22	Shattered
chr1	205001	210000	4.568	Shattered
chr1	210001	215000	3.188	Shattered
chr1	215001	220000	2.413	Shattered
chr1	220001	225000	2.045	Shattered
chr1	225001	230000	2.175	Shattered
chr1	230001	235000	1.508	Shattered
chr1	235001	240000	1.911	Shattered
chr1	240001	245000	1.888	Shattered
chr1	245001	250000	1.657	Shattered
chr1	250001	255000	2.011	Shattered
chr1	255001	260000	2.229	Shattered
chr1	260001	265000	2.23	Shattered
chr1	265001	270000	1.738	Shattered
chr1	270001	275000	3.269	Shattered
chr1	275001	280000	3.698	Shattered
chr1	280001	285000	3.31	Shattered
chr1	285001	290000	2.638	Shattered
chr1	290001	295000	1.797	Shattered
chr1	295001	300000	1.818	Shattered
chr1	300001	305000	2.46	Shattered
chr1	305001	310000	1.966	Shattered
chr1	310001	315000	2.184	Shattered
chr1	315001	320000	3.105	Shattered
chr1	320001	325000	3.653	Shattered
chr1	325001	330000	1.71	Shattered
chr1	330001	335000	1.912	Shattered
chr1	335001	340000	2.42	Shattered
chr1	340001	345000	2.871	Shattered
chr1	345001	350000	1.936	Shattered
chr1	350001	355000	1.841	Shattered
chr1	355001	360000	2.098	Shattered
chr1	360001	365000	1.809	Shattered
chr1	365001	370000	1.428	Shattered
chr1	370001	375000	2.314	Shattered
chr1	375001	380000	2.324	Shattered
chr1	380001	385000	2.49	Shattered
chr1	385001	390000	1.766	Shattered
chr1	390001	395000	2.037	Shattered
chr1	395001	400000	1.738	Shattered
chr1	400001	405000	2.319	Shattered
chr1	405001	410000	2.725	Shattered
chr1	410001	415000	2.138	Shattered
chr1	415001	420000	1.288	Shattered
chr1	420001	425000	1.587	Shattered
chr1	425001	430000	1.943	Shattered
chr1	430001	435000	2.109	Shattered
chr1	435001	440000	1.83	Shattered
chr1	440001	445000	2.157	Shattered
chr1	445001	450000	1.957	Shattered
chr1	450001	455000	2.33	Shattered
chr1	455001	460000	1.678	Shattered
chr1	460001	465000	2.24	Shattered
chr1	465001	470000	2.356	Shattered
chr1	470001	475000	2.295	Shattered
chr1	475001	480000	2.296	Shattered
chr1	480001	485000	2.214	Shattered
chr1	485001	490000	2.566	Shattered
chr1	490001	495000	2.123	Shattered
chr1	495001	500000	2.597	Shattered
chr1	500001	505000	1.576	Shattered
chr1	505001	510000	2.808	Shattered
chr1	510001	515000	2.763	Shattered
chr1	515001	520000	2.248	Shattered
chr1	520001	525000	3.289	Shattered
chr1	525001	530000	4.618	Shattered
chr1	530001	535000	4.085	Shattered
chr1	535001	540000	3.323	Shattered
chr1	540001	545000	3.592	Shattered
chr1	545001	550000	2.127	Shattered
chr1	550001	555000	2.743	Shattered
chr1	555001	560000	1.928	Shattered
chr1	560001	565000	2.679	Shattered
chr1	565001	570000	2.496	Shattered
chr1	570001	575000	2.35	Shattered
chr1	575001	580000	1.97	Shattered
chr1	580001	585000	2.09	Shattered
chr1	585001	590000	2.372	Shattered
chr1	590001	595000	1.951	Shattered
chr1	595001	600000	2.797	Shattered
chr1	600001	605000	1.471	Shattered
chr1	605001	610000	1.532	Shattered
chr1	610001	615000	1.94	Shattered
chr1	615001	620000	2.027	Shattered
chr1	620001	625000	2.581	Shattered
chr1	625001	630000	2.362	Shattered
chr1	630001	635000	2.025	Shattered
chr1	635001	640000	2.695	Shattered
chr1	640001	645000	2.606	Shattered
chr1	645001	650000	2.531	Shattered
chr1	650001	655000	2.23	Shattered
chr1	655001	660000	2.146	Shattered
chr1	660001	665000	2.441	Shattered
chr1	665001	670000	1.773	Shattered
chr1	670001	675000	2.361	Shattered
chr1	675001	680000	2.044	Shattered
chr1	680001	685000	2.723	Shattered
chr1	685001	690000	2.62	Shattered
chr1	690001	695000	1.939	Shattered
chr1	695001	700000	1.589	Shattered
chr1	700001	705000	2.598	Shattered
chr1	705001	710000	3.129	Shattered
chr1	710001	715000	1.782	Shattered
chr1	715001	720000	1.817	Shattered
chr1	720001	725000	1.752	Shattered
chr1	725001	730000	2.606	Shattered
chr1	730001	735000	3.661	Shattered
chr1	735001	740000	3.243	Shattered
chr1	740001	745000	1.466	Shattered
chr1	745001	750000	1.965	Shattered
chr1	750001	755000	1.906	Shattered
chr1	755001	760000	1.878	Shattered
chr1	760001	765000	2.734	Shattered
chr1	765001	770000	1.998	Shattered
chr1	770001	775000	2.032	Shattered
chr1	775001	780000	2.893	Shattered
chr1	780001	785000	2.718	Shattered
chr1	785001	790000	2.58	Shattered
chr1	790001	795000	3.352	Shattered
chr1	795001	800000	2.263	Shattered
chr1	800001	805000	1.825	Shattered
chr1	805001	810000	2.424	Shattered
chr1	810001	815000	2.702	Shattered
chr1	815001	820000	2.193	Shattered
chr1	820001	825000	2.43	Shattered
chr1	825001	830000	1.888	Shattered
chr1	830001	835000	2.467	Shattered
chr1	835001	840000	3.63	Shattered
chr1	840001	845000	2.959	Shattered
chr1	845001	850000	2.052	Shattered
chr1	850001	855000	1.991	Shattered
chr1	855001	860000	1.985	Shattered
chr1	860001	865000	3.586	Shattered
chr1	865001	870000	1.81	Shattered
chr1	870001	875000	2.839	Shattered
chr1	875001	880000	1.738	Shattered
chr1	880001	885000	1.835	Shattered
chr1	885001	890000	2.089	Shattered
chr1	890001	895000	1.758	Shattered
chr1	895001	900000	2.13	Shattered
chr1	900001	905000	1.818	Shattered
chr1	905001	910000	2.009	Shattered
chr1	910001	915000	2.109	Shattered
chr1	915001	920000	2.1	Shattered
chr1	920001	925000	3.798	Shattered
chr1	925001	930000	3.906	Shattered
chr1	930001	935000	3.948	Shattered
chr1	935001	940000	4.183	Shattered
chr1	940001	945000	3.695	Shattered
chr1	945001	950000	3.446	Shattered
chr1	950001	955000	4.437	Shattered
chr1	955001	960000	3.544	Shattered
chr1	960001	965000	3.62	Shattered
chr1	965001	970000	3.096	Shattered
chr1	970001	975000	2.64	Shattered
chr1	975001	980000	4.45	Shattered
chr1	980001	985000	3.268	Shattered
chr1	985001	990000	2.664	Shattered
chr1	990001	995000	2.244	Shattered
chr1	995001	1000000	1.59	Shattered
chr1	1000001	1005000	2.238	Shattered
chr1	1005001	1010000	2.073	Shattered
chr1	1010001	1015000	3.432	Shattered
chr1	1015001	1020000	1.722	Shattered
chr1	1020001	1025000	1.665	Shattered
chr1	1025001	1030000	2.178	Shattered
chr1	1030001	1035000	1.802	Shattered
chr1	1035001	1040000	2.767	Shattered
chr1	1040001	1045000	2.337	Shattered
chr1	1045001	1050000	2.529	Shattered
chr1	1050001	1055000	2.08	Shattered
chr1	1055001	1060000	1.846	Shattered
chr1	1060001	1065000	1.831	Shattered
chr1	1065001	1070000	2.453	Shattered
chr1	1070001	1075000	2.305	Shattered
chr1	1075001	1080000	1.702	Shattered
chr1	1080001	1085000	2.079	Shattered
