Chrom	Pos	InGene	Start	End	Info
Chr1	74736	TRUE	73931	74737	ID=AT1G01170.TAIR10;Name=AT1G01170
Chr1	3799279	TRUE	3794238	3800719	ID=AT1G11300.TAIR10;Name=AT1G11300
Chr1	170065	TRUE	168723	171165	ID=AT1G01460.TAIR10;Name=AT1G01460
Chr1	1595066	TRUE	1594057	1595818	ID=AT1G05430.TAIR10;Name=AT1G05430
Chr1	211851	TRUE	209395	213041	ID=AT1G01580.TAIR10;Name=AT1G01580
Chr1	2169571	TRUE	2168564	2169851	ID=AT1G07070.TAIR10;Name=AT1G07070
Chr1	9153882	TRUE	9151732	9154740	ID=AT1G26460.TAIR10;Name=AT1G26460
Chr1	2527850	TRUE	2527170	2529120	ID=AT1G08100.TAIR10;Name=AT1G08100
Chr1	10486563	TRUE	10479121	10486819	ID=AT1G29940.TAIR10;Name=AT1G29940
Chr1	420421	TRUE	418748	422438	ID=AT1G02205.TAIR10;Name=AT1G02205
Chr1	681656	TRUE	681396	687315	ID=AT1G02990.TAIR10;Name=AT1G02990
Chr1	6529672	TRUE	6528984	6532614	ID=AT1G18900.TAIR10;Name=AT1G18900
Chr1	6071470	TRUE	6069477	6072012	ID=AT1G17650.TAIR10;Name=AT1G17650
Chr1	539570	TRUE	537860	540109	ID=AT1G02560.TAIR10;Name=AT1G02560
Chr1	1901393	TRUE	1899964	1904873	ID=AT1G06220.TAIR10;Name=AT1G06220
Chr1	565836	TRUE	564205	567769	ID=AT1G02640.TAIR10;Name=AT1G02640
Chr1	597354	TRUE	594573	598657	ID=AT1G02730.TAIR10;Name=AT1G02730
Chr1	689314	TRUE	687890	692560	ID=AT1G03000.TAIR10;Name=AT1G03000
Chr1	705273	TRUE	703906	706631	ID=AT1G03040.TAIR10;Name=AT1G03040
Chr1	774736	TRUE	773411	775344	ID=AT1G03180.TAIR10;Name=AT1G03180
Chr1	795795	TRUE	795532	798463	ID=AT1G03260.TAIR10;Name=AT1G03260
Chr1	834184	TRUE	830627	835361	ID=AT1G03370.TAIR10;Name=AT1G03370
Chr1	857928	TRUE	854410	859701	ID=AT1G03445.TAIR10;Name=AT1G03445
Chr1	955357	TRUE	954525	956097	ID=AT1G03790.TAIR10;Name=AT1G03790
Chr1	964281	TRUE	962016	966757	ID=AT1G03830.TAIR10;Name=AT1G03830
Chr1	10833237	TRUE	10831673	10835538	ID=AT1G30580.TAIR10;Name=AT1G30580
Chr1	9206062	TRUE	9205836	9207383	ID=AT1G26630.TAIR10;Name=AT1G26630
Chr1	1076591	TRUE	1075543	1080630	ID=AT1G04140.TAIR10;Name=AT1G04140
Chr1	9119092	TRUE	9118948	9121217	ID=AT1G26360.TAIR10;Name=AT1G26360
Chr1	4644681	TRUE	4644521	4647007	ID=AT1G13580.TAIR10;Name=AT1G13580
Chr1	2654551	TRUE	2649537	2657120	ID=AT1G08420.TAIR10;Name=AT1G08420
Chr1	2580175	TRUE	2577020	2580669	ID=AT1G08210.TAIR10;Name=AT1G08210
Chr1	7586102	TRUE	7581084	7588151	ID=AT1G21630.TAIR10;Name=AT1G21630
Chr1	1259557	TRUE	1258577	1261426	ID=AT1G04590.TAIR10;Name=AT1G04590
Chr1	1263578	TRUE	1262123	1272376	ID=AT1G04600.TAIR10;Name=AT1G04600
Chr1	1280140	TRUE	1279388	1281618	ID=AT1G04610.TAIR10;Name=AT1G04610
Chr1	1281537	TRUE	1279388	1281618	ID=AT1G04610.TAIR10;Name=AT1G04610
Chr1	1285065	TRUE	1282741	1286584	ID=AT1G04620.TAIR10;Name=AT1G04620
Chr1	1289574	TRUE	1287831	1289820	ID=AT1G04625.TAIR10;Name=AT1G04625
Chr1	10905467	TRUE	10904907	10905709	ID=AT1G30750.TAIR10;Name=AT1G30750
Chr1	1384409	TRUE	1383841	1387895	ID=AT1G04900.TAIR10;Name=AT1G04900
Chr1	3356715	TRUE	3356680	3359838	ID=AT1G10240.TAIR10;Name=AT1G10240
Chr1	1583081	TRUE	1582671	1583718	ID=AT1G05385.TAIR10;Name=AT1G05385
